,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
155,40640,HASCONTRAST,23658,25895,,,,
156,40639,HASCONTRAST,23658,25894,,,,
157,39975,HASCONDITION,23658,24398,,,,
158,39974,HASCONDITION,23658,24397,,,,
159,70130,HASCITATION,23659,30775,,,,
160,70129,HASCITATION,23659,30774,,,,
161,53509,HASINDICATOR,23659,30240,ind_4b75ea8c0ebe5,,,
162,53508,HASINDICATOR,23659,30148,ind_4b75ea7fc64e3,,,
163,53507,HASINDICATOR,23659,30189,ind_4b75ea6fe6469,,,
164,48205,ASSERTS,23659,25117,,,,
165,43906,ASSERTS,23659,25507,,,,
166,43901,ASSERTS,23659,25314,,,,
167,43896,ASSERTS,23659,25523,,,,
168,42022,HASCONTRAST,23659,27282,,,,
169,42021,HASCONTRAST,23659,27281,,,,
170,40897,HASCONTRAST,23659,26152,,,,
171,40896,HASCONTRAST,23659,26151,,,,
172,40643,HASCONTRAST,23659,25898,,,,
173,40642,HASCONTRAST,23659,25897,,,,
174,40641,HASCONTRAST,23659,25896,,,,
175,39978,HASCONDITION,23659,24401,,,,
176,39977,HASCONDITION,23659,24400,,,,
177,39976,HASCONDITION,23659,24399,,,,
178,69910,HASCITATION,23660,30553,,,,
179,53513,HASINDICATOR,23660,30241,ind_4b84372b36457,,,
180,42575,KINDOF,23660,23818,,,,
181,42431,ASSERTS,23660,25305,,,,
182,40654,HASCONTRAST,23660,25909,,,,
183,40653,HASCONTRAST,23660,25908,,,,
184,40652,HASCONTRAST,23660,25907,,,,
185,39985,HASCONDITION,23660,24408,,,,
186,39984,HASCONDITION,23660,24407,,,,
187,70113,HASCITATION,23661,30755,,,,
188,70112,HASCITATION,23661,30754,,,,
189,53701,HASINDICATOR,23661,30304,ind_4df914e097324,,,
190,43756,ASSERTS,23661,25593,,,,
191,43751,ASSERTS,23661,25549,,,,
192,43746,ASSERTS,23661,25388,,,,
193,40881,HASCONTRAST,23661,26136,,,,
194,70193,HASCITATION,23662,30841,,,,
195,70192,HASCITATION,23662,30840,,,,
196,53761,HASINDICATOR,23662,30183,ind_4dffd38141772,,,
197,44290,ASSERTS,23662,25264,,,,
198,44285,ASSERTS,23662,25596,,,,
199,44280,ASSERTS,23662,25152,,,,
200,44275,ASSERTS,23662,25507,,,,
201,40968,HASCONTRAST,23662,26224,,,,
202,40967,HASCONTRAST,23662,26223,,,,
203,40966,HASCONTRAST,23662,26222,,,,
204,40965,HASCONTRAST,23662,26221,,,,
205,40964,HASCONTRAST,23662,26220,,,,
206,40963,HASCONTRAST,23662,26219,,,,
207,40962,HASCONTRAST,23662,26218,,,,
208,40961,HASCONTRAST,23662,26217,,,,
209,40960,HASCONTRAST,23662,26216,,,,
210,40959,HASCONTRAST,23662,26215,,,,
211,40958,HASCONTRAST,23662,26214,,,,
212,40957,HASCONTRAST,23662,26213,,,,
213,40956,HASCONTRAST,23662,26212,,,,
214,40955,HASCONTRAST,23662,26211,,,,
215,40117,HASCONDITION,23662,24540,,,,
216,40116,HASCONDITION,23662,24539,,,,
217,40115,HASCONDITION,23662,24538,,,,
218,40114,HASCONDITION,23662,24537,,,,
219,40113,HASCONDITION,23662,24536,,,,
220,40112,HASCONDITION,23662,24535,,,,
221,40111,HASCONDITION,23662,24534,,,,
222,40110,HASCONDITION,23662,24533,,,,
223,40109,HASCONDITION,23662,24532,,,,
224,40108,HASCONDITION,23662,24531,,,,
225,40107,HASCONDITION,23662,24530,,,,
226,40106,HASCONDITION,23662,24529,,,,
227,40105,HASCONDITION,23662,24528,,,,
228,70225,HASCITATION,23663,30875,,,,
229,70224,HASCITATION,23663,30874,,,,
230,53795,HASINDICATOR,23663,30263,ind_4e02167258270,,,
231,50478,ASSERTS,23663,25596,,,,
232,44514,ASSERTS,23663,25166,,,,
233,44509,ASSERTS,23663,25521,,,,
234,44504,ASSERTS,23663,25464,,,,
235,44500,KINDOF,23663,23874,,,,
236,41019,HASCONTRAST,23663,26275,,,,
237,70115,HASCITATION,23664,30757,,,,
238,70114,HASCITATION,23664,30756,,,,
239,53703,HASINDICATOR,23664,30093,ind_4df91d7a05b76,,,
240,53702,HASINDICATOR,23664,30144,ind_4df91d64b23fa,,,
241,43779,ASSERTS,23664,25522,,,,
242,43770,ASSERTS,23664,25219,,,,
243,43761,ASSERTS,23664,25499,,,,
244,40884,HASCONTRAST,23664,26139,,,,
245,40883,HASCONTRAST,23664,26138,,,,
246,40882,HASCONTRAST,23664,26137,,,,
247,70217,HASCITATION,23665,30866,,,,
248,70216,HASCITATION,23665,30865,,,,
249,53780,HASINDICATOR,23665,30158,ind_4e011c6f44a5b,,,
250,53779,HASINDICATOR,23665,30220,ind_4e011c45a2050,,,
251,53778,HASINDICATOR,23665,30310,ind_4e011c3d5ada8,,,
252,44405,ASSERTS,23665,25153,,,,
253,44400,ASSERTS,23665,25253,,,,
254,44395,ASSERTS,23665,25196,,,,
255,44390,ASSERTS,23665,25330,,,,
256,44385,ASSERTS,23665,25443,,,,
257,44380,ASSERTS,23665,25496,,,,
258,44375,ASSERTS,23665,25464,,,,
259,44371,KINDOF,23665,23833,,,,
260,40993,HASCONTRAST,23665,26249,,,,
261,40992,HASCONTRAST,23665,26248,,,,
262,40991,HASCONTRAST,23665,26247,,,,
263,40990,HASCONTRAST,23665,26246,,,,
264,40989,HASCONTRAST,23665,26245,,,,
265,40125,HASCONDITION,23665,24548,,,,
266,40124,HASCONDITION,23665,24547,,,,
267,40123,HASCONDITION,23665,24546,,,,
268,40122,HASCONDITION,23665,24545,,,,
269,70222,HASCITATION,23666,30872,,,,
270,70221,HASCITATION,23666,30870,,,,
271,70220,HASCITATION,23666,30871,,,,
272,53789,HASINDICATOR,23666,30212,ind_4e01322941548,,,
273,53788,HASINDICATOR,23666,30133,ind_4e013222a8eba,,,
274,53787,HASINDICATOR,23666,30165,ind_4e013215c985c,,,
275,53786,HASINDICATOR,23666,30311,ind_4e0132087acee,,,
276,53785,HASINDICATOR,23666,30105,ind_4e0131f94895e,,,
277,53784,HASINDICATOR,23666,30312,ind_4e0131eb2ffb1,,,
278,44491,ASSERTS,23666,25426,,,,
279,44486,ASSERTS,23666,25428,,,,
280,44477,ASSERTS,23666,25509,,,,
281,44472,ASSERTS,23666,25116,,,,
282,44463,ASSERTS,23666,25497,,,,
283,44459,KINDOF,23666,23833,,,,
284,41016,HASCONTRAST,23666,26272,,,,
285,41015,HASCONTRAST,23666,26271,,,,
286,41014,HASCONTRAST,23666,26270,,,,
287,41013,HASCONTRAST,23666,26269,,,,
288,41012,HASCONTRAST,23666,26268,,,,
289,41011,HASCONTRAST,23666,26267,,,,
290,41010,HASCONTRAST,23666,26266,,,,
291,41009,HASCONTRAST,23666,26265,,,,
292,41008,HASCONTRAST,23666,26264,,,,
293,41007,HASCONTRAST,23666,26263,,,,
294,40144,HASCONDITION,23666,24567,,,,
295,40143,HASCONDITION,23666,24566,,,,
296,40142,HASCONDITION,23666,24565,,,,
297,40141,HASCONDITION,23666,24564,,,,
298,40140,HASCONDITION,23666,24563,,,,
299,40139,HASCONDITION,23666,24562,,,,
300,40138,HASCONDITION,23666,24561,,,,
301,40137,HASCONDITION,23666,24560,,,,
302,70051,HASCITATION,23667,30693,,,,
303,70050,HASCITATION,23667,30692,,,,
304,70049,HASCITATION,23667,30691,,,,
305,53650,HASINDICATOR,23667,30261,ind_4df267fbd7e77,,,
306,53649,HASINDICATOR,23667,30089,ind_4df267f12d436,,,
307,53648,HASINDICATOR,23667,30272,ind_4df267e882922,,,
308,43387,ASSERTS,23667,25596,,,,
309,43382,ASSERTS,23667,25405,,,,
310,43377,ASSERTS,23667,25417,,,,
311,43367,ASSERTS,23667,25464,,,,
312,43362,ASSERTS,23667,25521,,,,
313,40827,HASCONTRAST,23667,26082,,,,
314,70038,HASCITATION,23668,30679,,,,
315,70037,HASCITATION,23668,30678,,,,
316,70036,HASCITATION,23668,30677,,,,
317,53642,HASINDICATOR,23668,30167,ind_4df1520d222ca,,,
318,53641,HASINDICATOR,23668,30188,ind_4df1520104f9e,,,
319,48306,ASSERTS,23668,25744,,,,
320,48283,ASSERTS,23668,25585,,,,
321,45361,ASSERTS,23668,25517,,,,
322,43306,ASSERTS,23668,25219,,,,
323,43301,ASSERTS,23668,25124,,,,
324,43297,PARTOF,23668,23833,,,,
325,40818,HASCONTRAST,23668,26073,,,,
326,70073,HASCITATION,23669,30715,,,,
327,70072,HASCITATION,23669,30714,,,,
